UNIDAD;NEGOCIO;LINEA/PROCESO;Periodo Admon;FUENTE INFORMACIÓN;Suma de VALOR ANTES IVA
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/07;Ejecutado;2028238,531
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/08;Ejecutado;2103467,881
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/09;Ejecutado;2453722,329
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/10;Ejecutado;2671783,975
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/11;Ejecutado;16704085
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/12;Ejecutado;12456074
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/01;Ejecutado;67774133,13
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/02;Ejecutado;82508474,34
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/03;Ejecutado;78147729,36
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/04;Ejecutado;58155025,87
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/05;Ejecutado;78136882,07
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/06;Ejecutado;90213740,46
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/07;Ejecutado;405340947,6
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/08;Ejecutado;94396380,17
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/09;Ejecutado;123200761,5
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/10;Ejecutado;80093757,99
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/11;Ejecutado;80045535
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2022/12;Ejecutado;149417529
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/01;Ejecutado;56296,74154
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2022/02;Ejecutado;67639,36347
